Jumlah_ART,Jumlah_Keluarga,sta_bangunan,sta_lahan,luas_lantai,lantai,dinding,kondisi_dinding,atap,kondisi_atap,jumlah_kamar,sumber_airminum,cara_peroleh_airminum,sumber_penerangan,daya,bb_masak,fasbab,kloset,buang_tinja,ada_tabung_gas,ada_lemari_es,ada_ac,ada_pemanas,ada_telepon,ada_tv,ada_emas,ada_laptop,ada_sepeda,ada_motor,ada_mobil,ada_perahu,ada_motor_tempel,ada_perahu_motor,ada_kapal,aset_tak_bergerak,luas_atb,rumah_lain,jumlah_sapi,jumlah_kerbau,jumlah_kambing,sta_art_usaha,desil_susenas
5,1,1,1,70,3,1,1,5,1,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,130,1,0,0,0,0,1
4,1,1,1,45,3,1,1,5,2,2,6,4,1,4,3,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
3,1,1,1,100,3,1,2,5,2,3,6,4,1,4,3,4,1,4,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1700,1,0,0,0,0,0
4,1,1,1,60,2,1,2,5,2,3,6,4,1,4,2,4,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1
4,1,1,1,38,3,1,1,5,1,3,6,4,1,4,3,3,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,137,1,0,0,0,1,1
5,1,1,1,70,3,1,1,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,70,0,0,0,0,0,0
4,1,1,1,42,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,42,1,0,0,0,1,1
2,1,1,1,48,2,1,2,5,2,2,6,4,1,4,4,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,72,1,0,0,0,1,0
4,1,1,1,35,3,1,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
5,1,1,1,50,3,1,2,5,2,3,6,4,1,4,4,4,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,4,4,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
8,2,1,1,35,3,1,1,6,1,3,6,4,1,4,3,4,1,2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,100,1,0,0,0,1,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,4,4,1,5,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,0,1
4,1,1,1,54,3,1,2,5,1,2,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,4,1,0
4,1,1,1,46,3,1,2,5,2,2,6,4,1,4,4,4,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
4,1,1,1,45,3,1,1,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,45,1,0,0,0,0,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,10,0,0
4,1,1,2,54,3,1,2,5,1,2,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,400,1,0,0,0,1,0
3,1,1,1,42,2,2,0,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,62,1,0,0,0,1,0
4,1,1,1,35,2,3,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,400,1,0,0,0,0,0
3,1,1,1,42,3,1,2,6,2,2,6,2,1,4,4,3,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
2,1,1,2,45,2,1,2,6,2,2,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,70,1,0,0,0,1,0
5,1,1,1,81,3,1,1,5,1,4,6,4,1,4,2,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,1,0
3,1,3,3,45,2,1,1,5,1,3,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,60,1,0,0,0,1,0
4,1,1,1,45,3,1,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,68,1,0,0,0,1,0
6,1,1,1,42,3,1,2,5,2,3,6,4,1,4,3,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,52,1,0,0,0,1,1
4,1,1,1,45,3,1,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,70,1,0,0,3,0,0
4,1,1,1,54,3,1,2,6,1,3,6,4,1,4,4,4,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,4000,1,0,0,0,1,1
1,1,1,1,60,3,1,2,5,2,2,6,4,1,4,2,4,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,120,1,0,0,0,1,0
5,1,1,1,55,3,1,2,5,2,3,6,4,1,4,3,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
3,1,1,1,42,2,1,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,100,1,0,0,0,1,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
3,1,1,1,36,2,1,2,5,2,2,6,4,1,4,4,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,54,1,0,0,0,1,0
5,1,1,1,110,3,1,1,5,1,4,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,220,1,0,0,0,1,0
3,1,1,2,54,3,1,2,6,1,2,6,4,1,4,2,4,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0
4,1,1,1,60,3,1,2,5,2,3,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1
4,1,1,1,50,3,1,1,6,2,2,6,4,1,4,4,4,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,2,1,0
3,1,1,1,56,2,1,2,5,2,2,6,4,1,4,4,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,84,1,0,0,4,1,0
4,1,1,1,80,3,1,2,5,2,2,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,160,1,0,0,0,0,0
3,1,1,1,36,3,1,2,6,2,3,6,4,1,4,3,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,54,1,0,0,5,0,0
8,1,1,1,40,3,1,2,5,2,2,6,4,1,4,3,4,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,120,1,0,0,0,0,1
6,1,1,1,35,3,1,2,5,2,3,6,4,1,4,4,4,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
2,1,1,1,35,2,1,2,5,2,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,550,1,0,0,0,1,0
3,1,1,1,60,3,1,1,5,1,3,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,200,1,0,0,3,0,0
2,1,1,1,42,6,1,2,5,2,3,6,4,1,4,4,4,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2255,1,0,0,0,0,0
4,1,1,1,50,3,1,2,5,1,2,6,4,1,4,3,4,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,120,1,0,0,0,0,0
3,1,1,1,32,3,1,2,5,2,2,6,4,1,4,4,4,1,4,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,3600,1,0,0,0,0,0
3,1,1,2,50,6,1,2,5,2,2,6,4,1,4,4,4,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,800,1,0,0,0,0,0
4,1,1,1,40,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,120,1,0,0,0,0,1
4,1,1,1,365,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,65,1,0,0,0,0,0
